"","SEX_label","JWTR_label","JWMNP","AGEP","PINCP"
"276","Female","Walked",4,62,54700
"277","Female","Walked",12,31,65000
"278","Female","Walked",25,32,70000
"279","Female","Walked",30,28,40000
"280","Female","Walked",5,71,30000
"281","Female","Walked",10,41,355000
"282","Female","Walked",10,52,8200
"283","Female","Walked",10,20,9000
"284","Female","Walked",10,34,35000
"285","Female","Walked",12,44,120000
"286","Female","Walked",5,61,2000
"287","Female","Walked",15,40,25000
"288","Female","Walked",30,67,90000
"289","Female","Walked",18,23,80000
"290","Female","Walked",15,38,78000
"291","Female","Walked",15,41,510
"292","Female","Walked",2,55,65000
"293","Female","Walked",8,46,9000
"294","Female","Walked",10,25,22000
"295","Female","Walked",15,58,30000
"296","Female","Walked",5,64,117500
"297","Female","Walked",6,25,42600
"298","Female","Walked",15,64,675000
"299","Female","Walked",7,28,5200
"300","Female","Walked",15,29,15300
"301","Female","Walked",13,50,18200
"302","Female","Walked",60,34,10000
"303","Female","Walked",10,30,14000
"304","Female","Walked",1,52,52500
"305","Female","Walked",5,33,90020
"306","Female","Walked",5,65,51000
"307","Female","Walked",30,25,120200
"308","Female","Walked",10,31,33000
"309","Female","Walked",2,35,3000
"310","Female","Walked",45,31,31100
"311","Female","Walked",25,38,172000
"312","Female","Walked",10,32,65000
"313","Female","Walked",10,31,70000
"314","Female","Walked",15,57,70000
"315","Female","Walked",7,35,95400
"316","Female","Walked",25,52,8600
"317","Female","Walked",20,39,20000
"318","Female","Walked",30,58,9700
"319","Female","Walked",15,52,30000
"320","Female","Walked",25,60,22500
"321","Female","Walked",10,48,60000
"322","Female","Walked",20,25,30000
"323","Female","Walked",30,28,48000
"324","Female","Walked",10,19,7000
"325","Female","Walked",15,55,11000
"326","Female","Walked",10,24,19000
"327","Female","Walked",6,63,146600
"328","Female","Walked",5,49,40000
"329","Female","Walked",30,51,227500
"330","Female","Walked",10,36,92000
"331","Female","Walked",15,42,111000
"332","Female","Walked",2,50,81000
"333","Female","Walked",25,30,190000
"334","Female","Walked",5,43,21000
"335","Female","Walked",10,30,35000
"336","Female","Walked",10,39,80000
"337","Female","Walked",15,61,70000
"338","Female","Walked",15,75,74000
"339","Female","Walked",2,38,52000
"340","Female","Walked",10,53,20000
"341","Female","Walked",1,77,91030
"342","Female","Walked",10,32,9600
"343","Female","Walked",10,36,32500
"344","Female","Walked",2,64,28700
"345","Female","Walked",25,21,9000
"346","Female","Walked",25,23,4800
"347","Female","Walked",25,22,12000
"348","Female","Walked",25,22,4800
"349","Female","Walked",15,24,20000
"350","Female","Walked",15,23,20000
"351","Female","Walked",5,80,38500
"352","Female","Walked",30,36,22000
"353","Female","Walked",5,75,36000
"354","Female","Walked",5,50,23000
"355","Female","Walked",30,50,22600
"356","Female","Walked",1,52,41000
"357","Female","Walked",5,54,22600
"358","Female","Walked",10,23,15000
"359","Female","Walked",1,50,6700
"360","Female","Walked",20,38,90000
"361","Female","Walked",15,46,2000
"362","Female","Walked",15,21,27000
"363","Female","Walked",15,42,45000
"364","Female","Walked",15,25,11500
"365","Female","Walked",5,38,32800
"366","Female","Walked",15,60,66000
"367","Female","Walked",30,24,7200
"368","Female","Walked",5,38,24000
"369","Female","Walked",55,83,29400
"370","Female","Walked",10,20,3000
"371","Female","Walked",10,31,51000
"372","Female","Walked",20,26,150000
"373","Female","Walked",20,34,340000
"374","Female","Walked",30,61,120000
"375","Female","Walked",10,32,32000
"376","Female","Walked",15,62,6000
"377","Female","Walked",20,51,159020
"378","Female","Walked",15,53,18600
"379","Female","Walked",5,22,3300
"380","Female","Walked",30,36,20000
"381","Female","Walked",5,40,12000
"382","Female","Walked",20,53,3e+05
"383","Female","Walked",11,62,668300
"384","Female","Walked",15,38,34300
"385","Female","Walked",3,31,9600
"386","Female","Walked",15,19,4600
"387","Female","Walked",3,26,60000
"388","Female","Walked",5,42,25000
"389","Female","Walked",20,39,150000
"390","Female","Walked",3,40,5500
"391","Female","Walked",7,46,14600
"392","Female","Walked",2,60,115000
"393","Female","Walked",10,20,25000
"394","Female","Walked",15,63,28000
"395","Female","Walked",20,27,73000
"396","Female","Walked",10,64,1e+05
"397","Female","Walked",30,31,30000
"398","Female","Walked",3,21,9000
"399","Female","Walked",10,32,150000
"400","Female","Walked",7,25,90050
"401","Female","Walked",10,27,5000
"402","Female","Walked",20,22,30020
"403","Female","Walked",5,57,14000
"404","Female","Walked",5,40,2400
"405","Female","Walked",20,58,91200
"406","Female","Walked",25,40,35800
"407","Female","Walked",20,57,13300
"408","Female","Walked",15,64,15700
"409","Female","Walked",30,30,20000
"410","Female","Walked",20,74,25100
"411","Female","Walked",10,31,35000
"412","Female","Walked",10,22,11400
"413","Female","Walked",10,23,20000
"414","Female","Walked",30,40,150000
"415","Female","Walked",2,79,53000
"416","Female","Walked",15,63,30000
"417","Female","Walked",12,19,7500
"418","Female","Walked",2,53,30000
"419","Female","Walked",10,31,70000
"420","Female","Walked",15,29,25000
"421","Female","Walked",40,30,210000
"422","Female","Walked",5,28,10000
"423","Female","Walked",5,61,34850
"424","Female","Walked",5,48,8000
"425","Female","Walked",10,49,17000
"426","Female","Walked",5,28,40000
"427","Female","Walked",5,29,30000
"428","Female","Walked",10,22,400
"429","Female","Walked",10,61,7000
"430","Female","Walked",10,22,30000
"431","Female","Walked",15,29,95000
"432","Female","Walked",15,44,33300
"433","Female","Walked",15,19,670
"434","Female","Walked",30,48,172000
"435","Female","Walked",15,20,5600
"436","Female","Walked",15,20,1000
"437","Female","Walked",15,43,26000
"438","Female","Walked",15,39,22000
"439","Female","Walked",10,28,28000
