,JWTR_label,AGEP,JWMNP,RAC1P_label,PINCP,DPHY_label
277,Bus or trolley bus,59,35,White alone,20000,No
278,Subway or elevated,32,45,Asian alone,110000,No
279,Subway or elevated,40,30,Some Other Race alone,36000,No
280,Subway or elevated,45,40,Black or African American alone,40000,No
281,Bus or trolley bus,45,40,Some Other Race alone,4000,No
282,Bus or trolley bus,38,30,Black or African American alone,60000,No
283,Subway or elevated,32,30,Asian alone,800,No
284,Subway or elevated,54,90,White alone,40000,No
285,Subway or elevated,65,45,White alone,660000,No
286,Subway or elevated,30,30,White alone,90000,No
287,"Car, truck, or van",56,30,Black or African American alone,38000,No
288,Bus or trolley bus,61,60,White alone,60000,No
289,Subway or elevated,26,30,White alone,4000,No
290,Walked,49,10,Asian alone,30000,No
291,"Car, truck, or van",21,15,Black or African American alone,11000,No
292,Bicycle,29,20,White alone,16000,No
293,Subway or elevated,53,50,Asian alone,8400,No
294,"Car, truck, or van",30,15,White alone,18000,No
295,Subway or elevated,37,90,Black or African American alone,58000,No
296,Subway or elevated,25,45,Asian alone,50000,No
297,Subway or elevated,49,20,Black or African American alone,210,No
298,Subway or elevated,21,50,Some Other Race alone,17100,No
299,Bus or trolley bus,41,90,Black or African American alone,20800,No
300,Subway or elevated,48,60,Asian alone,41000,No
301,"Car, truck, or van",42,40,Black or African American alone,28000,No
302,Walked,74,5,Black or African American alone,16500,Yes
303,Subway or elevated,27,30,White alone,60000,No
304,"Car, truck, or van",61,30,Some Other Race alone,110000,No
305,Bus or trolley bus,60,75,White alone,55000,No
306,Subway or elevated,36,60,Asian alone,80000,No
307,Subway or elevated,28,40,Asian alone,25000,No
308,Subway or elevated,36,50,Asian alone,102000,No
309,Subway or elevated,36,30,Asian alone,45000,No
310,"Car, truck, or van",58,20,Black or African American alone,98000,No
311,Bus or trolley bus,26,30,White alone,10000,No
312,Subway or elevated,63,90,Black or African American alone,88000,No
313,Other method,34,35,Asian alone,38000,No
314,Subway or elevated,40,40,Asian alone,80000,No
315,"Car, truck, or van",58,45,Black or African American alone,60000,No
316,Subway or elevated,51,30,White alone,62000,No
317,Subway or elevated,30,50,Two or More Races,6000,No
318,Subway or elevated,54,75,Black or African American alone,40000,No
319,Subway or elevated,30,60,White alone,290,No
320,Bus or trolley bus,50,50,Black or African American alone,28000,No
321,Subway or elevated,61,45,White alone,15000,No
322,Railroad,70,138,Black or African American alone,19600,No
323,Ferryboat,35,30,White alone,250000,No
